Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Heads Up For Tails,New Delhi,Pet care,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish","Verlinvest, Sequoia Capital India","$37,000,000.00",Series A
Blue Tokai Coffee Roasters,New Delhi,Food & Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.",Anicut Angel Fund,"$2,000,000.00",Pre-series B
Neeman,Hyderabad,Consumer Goods,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Sixth Sense Ventures,"$2,000,000.00",Series A
BharatPe,New Delhi,FinTech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",Tiger Global,"$370,000,000.00",Series E
GoSats,Bangalore,FinTech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital","$700,000.00",Seed
StockGro,Bangalore,FinTech,Making Investment Social- India's First Social Trading Platform,"Roots Ventures, Velo Partners","$5,000,000.00",Pre-series A
Onsurity,Bangalore,HealthCare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",Nexus Venture Partners,"$16,000,000.00",Series A
Khabri,Gurugram,Media,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,,"$2,000,000.00",Pre-series A
Celcius,Mumbai,Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,"Mumbai Angels Network, Huddle, Lumis Partners","$500,000.00",
AyuRythm,Bangalore,HealthCare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,SucSEED Indovation Fund,$nan,Seed
Enguru,Bangalore,EdTech,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Potencia Ventures, Bisk Ventures, LetsVenture, Ronnie Screwvala, Arihant Patni",$nan,Pre-series A
Rocket Skills,Gurugram,EdTech,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Better Capital, First Cheque, Titan Capital","$200,000.00",Pre-seed
RenewBuy,Gurugram,FinTech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Evolvence Capital,"$10,000,000.00",Series C
Faarms,Bangalore,AgriTech,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,,"$2,000,000.00",Seed
UrbanMatrix Technologies,Chennai,Drone,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,SARA ELGI,"$100,000.00",
Jupiter,Mumbai,Banking,"A digital banking experience that keeps pace with you, and helps master money too.","Nubank, Global Founders Capital, Sequoia Capital India, Matrix Partners India","$44,000,000.00",Series B
Pixuate,Bangalore,Deeptech,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",SucSEED Indovation Fund,"$1,000,000.00",Seed
Playo,Bangalore,SportsTech,Playo is a one stop destination app for all things sports,ah! Ventures High Tables,"$500,000.00",Pre-series A
Toothsi,Mumbai,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Eight Roads Ventures, Think Investments, Mankekar Family Office","$20,000,000.00",Series B
Soothe Healthcare,New Delhi,Consumer Goods,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",A91 Partners,"$10,000,000.00",Series C
Goodmeetings,Bangalore,Computer Software,AI-Based Platform Built Exclusively for Remote Selling,Chiratae Ventures,"$1,700,000.00",Series A
Apnaklub,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,Sequoia’s Surge,"$3,500,000.00",Seed
ChefKart,Gurugram,Consumer Goods,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Lead Angels, Titan Capital, Pravega Ventures","$300,000.00",Pre-seed
Fashinza,Gurugram,Apparel & Fashion,A new-age supply chain and product development platform for the fashion industry.,"Accel Partners, Elevation Capital","$20,000,000.00",Series A
Fabheads,Chennai,Industrial Automation,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,"Inflection Point Ventures, Rockstud Capital, FirstPort Capital, Bliss Flow Investments Pvt Ltd",$nan,Pre-series A
QuickShift,Pune,Logistics & Supply Chain,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support","Anicut Angel Fund, Axilor Ventures","$770,000.00",Seed
StackBOX,Bangalore,Logistics & Supply Chain,DISTRIBUTION SIMPLIFIED,"Ecosystem Ventures, CMM group","$1,200,000.00",
MedPrime Technologies,Thane,HealthCare,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.","Mumbai Angels Network, Social Alpha",$nan,Seed
infra.market,Thane,Construction,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,Tiger Global,"$125,000,000.00",Series D
CollegeDekho,Gurgaon,E-learning,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals","Disrupt ADQ, QIC","$35,000,000.00",Series B
BOX8,Mumbai,Food & Beverages,India's Largest Desi Meals Brand,Tiger Global,"$40,000,000.00",
Simpl,Bangalore,Consumer Services,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Valar Ventures, IA Ventures","$40,000,000.00",Series B
8i Ventures,Mumbai,Venture Capital & Private Equity,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,,"$50,000,000.00",
PayGlocal,Bangalore,Financial Services,PayGlocal is a FinTech solving for global payments acceptance,Sequoia Capital India,"$4,900,000.00",Series A
Curefit,Bangalore,Health,Tata Digital-backed Curefit,Zomato,"$145,000,000.00",
Pocket FM,Bangalore,OTT,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Lightspeed, Times Group, Tanglin Venture Partners","$22,000,000.00",Series B
CHARGE+ZONE,Vadodara,Automotive,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Venture Catalysts,"$10,000,000.00",
PlanetSpark,Gurugram,Education Management,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni","$13,000,000.00",Series B
LenDenClub,Mumbai,Financial Services,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund","$10,000,000.00",Series A
CometChat,Mumbai,Computer Software,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",Signal Peak Ventures,"$10,000,000.00",Series A
AgroStar,Pune,AgriTech,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Evolvence, Hero Enterprise","$70,000,000.00",Series D
Bizongo,Mumbai,Information Technology & Services,Bizongo is India’s largest B2B platform for made-to-order products.,Tiger Global,"$100,000,000.00",Series D
Probus Insurance,Mumbai,Insurance,Probus Insurance is a leading InsurTech platform in India.,BlueOrchard Impact Investment Managers,"$6,700,000.00",
MoEngage,Bangalore,Software,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,Steadview Capital,"$30,000,000.00",Series D
CloudSEK,Bangalore,Computer & Network Security,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,MassMutual Ventures,"$7,000,000.00",Series A
Exponent Energy,Bangalore,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,YourNest VC,"$5,000,000.00",Pre-series A
Trinkerr,Bangalore,Capital Markets,Trinkerr is India's first social trading platform.,Accel India,"$6,600,000.00",Series A
Zorro,Gurugram,Social network,Pseudonymous social network platform,"Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose","$32,000,000.00",Seed
Ultraviolette,Bangalore,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"TVS Motor, Zoho","$150,000,000.00",Series C
NephroPlus,Hyderabad,Hospital & Health Care,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",IIFL Asset Management,"$24,000,000.00",Series E
Unremot,Bangalore,Information Technology & Services,Unremot is a personal office for consultants!,Inflection Point Ventures,"$700,000.00",Seed
FanAnywhere,Bangalore,Financial Services,Celebrity NFT platform,"Oasis Capital, Scorpio VC, DeltaHub Capital",$nan,Seed
PingoLearn,Pune,E-learning,PingoLearn offers language learning courses with snackable videos.,"Titan Capital, Haresh Chawla, AngelList Syndicate","$200,000.00",
Spry,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"9Unicorns, Ashneer Grover","$1,500,000.00",Seed
Enmovil,Hyderabad,Information Technology & Services,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,Anicut Angel Fund,"$1,300,000.00",Pre-series A
ASQI Advisors,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Founders Room Capital,"$1,000,000.00",Pre-series A
Insurance Samadhan,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,"9Unicorns, ZNL","$725,000.00",Pre-series A
Evenflow Brands,Mumbai,Consumer Goods,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,,"$500,000.00",
MasterChow,,Food & Beverages,A ready-to-cook Asian cuisine brand,WEH Ventures,"$461,000.00",Seed
Fullife Healthcare,,HealthCare,Varun Khanna,$22000000,$nan,
MoEVing,Gurugram,MoEVing is Indias only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India.,"Vikash Mishra, Mragank Jain",$5000000,$nan,
Pristyn Care,Gurugram,Hospital & Health Care,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step.,"Kunal Shah, Deepinder Goyal, Abhiraj Singh Bhal","$96,000,000.00",Series E
Plix,Mumbai,Health,Plant-based nutraceutical firm,"Guild Capital, RPSG Capital Ventures","$5,000,000.00",Series A
Uni Cards,Bangalore,Financial Services,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.","General Catalyst, Eight Roads Ventures, Elevation Capital","$70,000,000.00",Series A
Practically,Hyderabad,E-learning,An experiential learning app for grades 6th to 12th.,"NB Ventures, Earlsfield Capital","$5,000,000.00",
Nestasia,Kolkata,Retail,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Varun Alagh, Sahil Barua","$4,000,000.00",Series A
Vedic Cosmeceuticals,Noida,Cosmetics,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Sixth Sense Ventures,"$32,000,000.00",Series A
Juspay,Bangalore,FinTech,Enable frictionless payments for the billion Indians.,SoftBank Vision Fund 2,"$60,000,000.00",Series C
TranZact,Mumbai,Information Technology & Services,A mission to digitize millions of Indian SMEs so they can grow better.,"Tribe Capital, Prime Venture Partners","$7,000,000.00",Series A
Atomberg,Mumbai,Consumer Electronics,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,Jungle Ventures,"$20,000,000.00",
Ola,Bangalore,Mobility,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Marquee international institutional investors,"$500,000,000.00",
Mohalla Tech,Bangalore,Social Media,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",Alkeon Capital,"$266,000,000.00",Series G
Stack,Bangalore,Financial Services,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Y Combinator, Harvard Management","$4,500,000.00",Seed
PropReturns,Mumbai,Real Estate,PropReturns is a platform for users to invest in Indian Real Estate backed by data.,"Y Combinator﻿, ﻿Goodwater Capital","$1,200,000.00",
